epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,12694.5,0.82949,0.52471,0.00611,0.92494,0.8992,0.94407,0.7518,0.87526,0.4389,0.00807,0.000464188,0.000464188,0.000464188
129,12794.1,0.82709,0.51431,0.0059,0.92975,0.87802,0.93526,0.7475,0.87014,0.43764,0.00803,0.000458,0.000458,0.000458
130,12893,0.81143,0.50742,0.00615,0.93503,0.89204,0.93972,0.7524,0.86177,0.43751,0.00792,0.000451813,0.000451813,0.000451813
131,12992.4,0.80354,0.50515,0.00579,0.93431,0.89462,0.94213,0.75738,0.86979,0.4333,0.00801,0.000445625,0.000445625,0.000445625
132,13093.6,0.82659,0.50684,0.00606,0.92284,0.90153,0.94315,0.75721,0.86789,0.44122,0.00802,0.000439437,0.000439437,0.000439437
133,13194.1,0.78644,0.48556,0.00556,0.94039,0.89437,0.94062,0.75709,0.85965,0.42978,0.0079,0.00043325,0.00043325,0.00043325
134,13295,0.80027,0.50062,0.00597,0.94384,0.89295,0.94065,0.75916,0.85694,0.42568,0.00787,0.000427062,0.000427062,0.000427062
135,13395,0.81027,0.51221,0.00601,0.92692,0.89472,0.93906,0.75562,0.85346,0.42405,0.00788,0.000420875,0.000420875,0.000420875
136,13494.6,0.79901,0.49025,0.00572,0.93798,0.8909,0.94293,0.76176,0.85041,0.42638,0.00781,0.000414688,0.000414688,0.000414688
137,13595.5,0.79952,0.49901,0.00572,0.93932,0.88954,0.94074,0.75793,0.85548,0.42982,0.00789,0.0004085,0.0004085,0.0004085
138,13695.8,0.78406,0.50081,0.00563,0.9355,0.89777,0.94368,0.76386,0.84737,0.42995,0.00785,0.000402312,0.000402312,0.000402312
139,13796.1,0.79337,0.48857,0.00581,0.92947,0.90143,0.94456,0.76538,0.84637,0.42669,0.00784,0.000396125,0.000396125,0.000396125
140,13895.9,0.7787,0.48116,0.00567,0.935,0.90529,0.94344,0.76476,0.84767,0.42988,0.00787,0.000389938,0.000389938,0.000389938
141,13995.9,0.77983,0.46995,0.0056,0.93821,0.89197,0.94245,0.76434,0.84382,0.42999,0.00774,0.00038375,0.00038375,0.00038375
142,14096,0.76326,0.46688,0.00548,0.9411,0.89667,0.94295,0.76615,0.83504,0.42374,0.00768,0.000377563,0.000377563,0.000377563
143,14195.7,0.78537,0.49749,0.0059,0.94804,0.87952,0.94448,0.76705,0.8297,0.4333,0.0076,0.000371375,0.000371375,0.000371375
144,14295.5,0.7685,0.47546,0.00553,0.94162,0.89883,0.94265,0.76696,0.82798,0.41529,0.0076,0.000365188,0.000365188,0.000365188
145,14395,0.76956,0.485,0.00551,0.94369,0.89596,0.944,0.76575,0.83059,0.41638,0.00764,0.000359,0.000359,0.000359
146,14494.8,0.75305,0.47088,0.00541,0.95364,0.88295,0.94281,0.76861,0.83334,0.41741,0.00764,0.000352812,0.000352812,0.000352812
147,14594.8,0.77195,0.49088,0.00566,0.94324,0.8951,0.94457,0.77079,0.83089,0.42105,0.00766,0.000346625,0.000346625,0.000346625
148,14693.9,0.76365,0.47947,0.00572,0.92941,0.90192,0.9428,0.7726,0.82938,0.42764,0.00767,0.000340438,0.000340438,0.000340438
149,14792.9,0.76589,0.46676,0.00578,0.93539,0.89932,0.94347,0.77226,0.8289,0.42677,0.00764,0.00033425,0.00033425,0.00033425
150,14892.1,0.76647,0.48729,0.00563,0.9472,0.89035,0.94162,0.76962,0.8272,0.41556,0.00761,0.000328063,0.000328063,0.000328063
151,14991,0.74643,0.45898,0.00536,0.94008,0.90916,0.94392,0.76853,0.82728,0.42509,0.00763,0.000321875,0.000321875,0.000321875
152,15090,0.72958,0.45296,0.00543,0.9482,0.90033,0.94283,0.77174,0.82228,0.42364,0.00754,0.000315687,0.000315687,0.000315687
153,15188.8,0.7393,0.45608,0.00526,0.94172,0.89997,0.94237,0.77147,0.82359,0.42717,0.00758,0.0003095,0.0003095,0.0003095
154,15287.4,0.74337,0.46097,0.00548,0.94763,0.89199,0.94215,0.77167,0.82416,0.42951,0.0076,0.000303313,0.000303313,0.000303313
155,15386.1,0.7468,0.45879,0.00554,0.94848,0.89365,0.94061,0.7721,0.8217,0.42587,0.00753,0.000297125,0.000297125,0.000297125
156,15484.8,0.7329,0.43545,0.00528,0.94208,0.89531,0.94162,0.77513,0.82156,0.42148,0.00755,0.000290937,0.000290937,0.000290937
157,15583.8,0.72794,0.44345,0.00526,0.93136,0.90515,0.94425,0.77311,0.81799,0.42254,0.0075,0.00028475,0.00028475,0.00028475
158,15683,0.73542,0.44912,0.00535,0.9443,0.88776,0.94121,0.77614,0.81456,0.4302,0.0075,0.000278562,0.000278562,0.000278562
159,15782.9,0.72572,0.42306,0.00522,0.9432,0.89481,0.94086,0.77601,0.81233,0.42796,0.00749,0.000272375,0.000272375,0.000272375
160,15882.6,0.74018,0.43542,0.0054,0.94342,0.89289,0.94389,0.77861,0.81336,0.42077,0.0075,0.000266187,0.000266187,0.000266187
161,15982.2,0.72444,0.42357,0.00514,0.93135,0.90344,0.94291,0.78179,0.81236,0.41639,0.00748,0.00026,0.00026,0.00026
162,16081.7,0.71597,0.43586,0.00521,0.93125,0.90419,0.94411,0.78199,0.81211,0.40927,0.00746,0.000253812,0.000253812,0.000253812
163,16181.3,0.71333,0.43738,0.00526,0.94148,0.8967,0.94418,0.78044,0.80981,0.41935,0.00744,0.000247625,0.000247625,0.000247625
164,16280.7,0.7165,0.44141,0.00515,0.94057,0.90065,0.94658,0.78212,0.80781,0.41545,0.00741,0.000241438,0.000241438,0.000241438
165,16380.1,0.7097,0.43839,0.00512,0.9366,0.90292,0.94687,0.78271,0.8135,0.4053,0.00743,0.00023525,0.00023525,0.00023525
166,16479.4,0.71882,0.43795,0.00523,0.94537,0.89952,0.94743,0.78271,0.80701,0.40595,0.00738,0.000229063,0.000229063,0.000229063
167,16578.8,0.70117,0.42095,0.00509,0.94876,0.8951,0.94809,0.78167,0.8054,0.41298,0.00737,0.000222875,0.000222875,0.000222875
168,16678.6,0.71495,0.42615,0.00517,0.93711,0.90441,0.94768,0.78239,0.80436,0.40859,0.00735,0.000216688,0.000216688,0.000216688
169,16779.8,0.71364,0.44022,0.00508,0.95514,0.89229,0.94823,0.78526,0.79961,0.41527,0.00731,0.0002105,0.0002105,0.0002105
170,16880.7,0.70557,0.42558,0.00513,0.95077,0.90033,0.94789,0.78784,0.79679,0.40967,0.00731,0.000204313,0.000204313,0.000204313
171,16980.3,0.68317,0.40984,0.00481,0.94921,0.90444,0.94683,0.78664,0.79402,0.40713,0.00726,0.000198125,0.000198125,0.000198125
172,17080.2,0.69151,0.4275,0.00497,0.94535,0.90751,0.94554,0.78661,0.79659,0.40848,0.00729,0.000191938,0.000191938,0.000191938
